SERVICE_MINILINK,hour,speed
1220028000_048,23,18.758854166666666
1220028000_049,0,23.7400462962963
1220028000_049,1,24.272858796296294
1220028000_049,2,32.49137731481482
1220028000_049,3,41.992071759259254
1220028000_049,4,42.634317129629636
1220028000_049,5,41.62517361111111
1220028000_049,6,40.39756944444446
1220028000_049,7,32.75561342592592
1220028000_049,8,27.908333333333335
1220028000_049,9,19.527372685185185
1220028000_049,10,17.817592592592593
1220028000_049,11,13.613715277777779
1220028000_049,12,20.3203125
1220028000_049,13,11.925
1220028000_049,14,12.401041666666666
1220028000_049,15,15.067824074074073
1220028000_049,16,17.00023148148148
1220028000_049,17,18.302430555555556
1220028000_049,18,21.908506944444444
1220028000_049,19,27.443171296296295
1220028000_049,20,27.93611111111111
1220028000_049,21,21.113136574074073
1220028000_049,22,19.565914351851852
1220028000_049,23,15.910243055555556
1220028000_050,0,21.231134259259257
1220028000_050,1,23.06585648148148
1220028000_050,2,32.027372685185185
1220028000_050,3,41.3363425925926
1220028000_050,4,38.165277777777774
1220028000_050,5,35.83032407407408
1220028000_050,6,34.30914351851852
1220028000_050,7,32.540798611111114
1220028000_050,8,27.74091435185185
1220028000_050,9,19.831828703703703
1220028000_050,10,14.69375
1220028000_050,11,12.252083333333333
1220028000_050,12,19.71221064814815
1220028000_050,13,10.83125
1220028000_050,14,11.884780092592592
1220028000_050,15,13.736863425925927
1220028000_050,16,14.338368055555556
1220028000_050,17,16.310416666666665
1220028000_050,18,19.844444444444445
1220028000_050,19,25.601041666666667
1220028000_050,20,24.315277777777776
1220028000_050,21,18.985416666666666
1220028000_050,22,16.047743055555557
1220028000_050,23,13.6734375
1220028000_051,0,18.02060185185185
1220028000_051,1,18.98865740740741
1220028000_051,2,25.584780092592595
1220028000_051,3,39.137152777777786
1220028000_051,4,36.29114583333332
1220028000_051,5,33.63035300925927
1220028000_051,6,32.78622685185185
1220028000_051,7,31.0271412037037
1220028000_051,8,26.435300925925926
1220028000_051,9,16.49849537037037
1220028000_051,10,14.353819444444444
1220028000_051,11,11.77361111111111
1220028000_051,12,16.099305555555556
1220028000_051,13,9.584027777777777
1220028000_051,14,10.6328125
1220028000_051,15,12.900694444444444
1220028000_051,16,12.206307870370372
1220028000_051,17,15.66064814814815
1220028000_051,18,18.075462962962963
1220028000_051,19,22.952083333333334
1220028000_051,20,21.706944444444446
1220028000_051,21,17.6875
1220028000_051,22,13.57204861111111
1220028000_051,23,13.325868055555556
1220028000_052,0,14.944560185185184
1220028000_052,1,16.23414351851852
1220028000_052,2,23.460995370370366
1220028000_052,3,35.03130787037037
1220028000_052,4,35.401041666666664
1220028000_052,5,30.942418981481488
1220028000_052,6,29.643055555555545
1220028000_052,7,27.469675925925927
1220028000_052,8,23.365972222222222
1220028000_052,9,18.201157407407404
1220028000_052,10,12.211979166666667
1220028000_052,11,9.38888888888889
1220028000_052,12,13.765277777777778
1220028000_052,13,9.289583333333333
1220028000_052,14,9.471412037037037
1220028000_052,15,11.65787037037037
1220028000_052,16,12.241782407407406
1220028000_052,17,13.407638888888888
1220028000_052,18,16.690625
1220028000_052,19,23.059490740740745
1220028000_052,20,20.209953703703704
1220028000_052,21,14.572916666666666
1220028000_052,22,13.259432870370372
1220028000_052,23,11.027256944444444
1220028000_053,0,11.037152777777777
1220028000_053,1,13.112326388888889
1220028000_053,2,19.334722222222222
1220028000_053,3,34.34305555555556
1220028000_053,4,31.701620370370378
1220028000_053,5,22.94467592592593
1220028000_053,6,28.795370370370367
1220028000_053,7,25.95225694444444
1220028000_053,8,25.673148148148144
1220028000_053,9,16.897916666666667
1220028000_053,10,11.382291666666667
1220028000_053,11,8.53125
1220028000_053,12,11.127083333333333
1220028000_053,13,8.113541666666666
1220028000_053,14,10.440625
1220028000_053,15,11.014756944444443
1220028000_053,16,12.032638888888888
1220028000_053,17,12.50625
1220028000_053,18,14.771527777777777
1220028000_053,19,19.960763888888888
1220028000_053,20,16.59236111111111
1220028000_053,21,12.932638888888889
1220028000_053,22,12.075868055555556
1220028000_053,23,9.550694444444444
1220028000_054,0,8.541493055555556
1220028000_054,1,10.075752314814814
1220028000_054,2,13.759143518518519
1220028000_054,3,27.976273148148145
1220028000_054,4,26.662384259259262
1220028000_054,5,22.163425925925925
1220028000_054,6,24.990162037037038
1220028000_054,7,23.951851851851846
1220028000_054,8,23.409259259259255
1220028000_054,9,14.203472222222222
1220028000_054,10,12.873958333333333
1220028000_054,11,7.530324074074073
1220028000_054,12,8.125
1220028000_054,13,7.21875
1220028000_054,14,9.18125
1220028000_054,15,9.582523148148148
1220028000_054,16,11.513773148148147
1220028000_054,17,12.35763888888889
1220028000_054,18,13.141493055555555
1220028000_054,19,17.366550925925925
1220028000_054,20,13.754166666666666
1220028000_054,21,11.785474537037036
1220028000_054,22,10.541319444444444
1220028000_054,23,8.730208333333334
1220028000_055,0,5.911284722222222
1220028000_055,1,8.263194444444444
1220028000_055,2,10.788194444444445
1220028000_055,3,26.88420138888889
1220028000_055,4,25.282291666666666
1220028000_055,5,19.10978009259259
1220028000_055,6,23.835532407407406
1220028000_055,7,24.305555555555557
1220028000_055,8,19.35787037037037
1220028000_055,9,14.246527777777779
1220028000_055,10,11.339236111111111
1220028000_055,11,6.815277777777778
1220028000_055,12,9.060416666666667
1220028000_055,13,7.752777777777778
1220028000_055,14,8.925983796296295
1220028000_055,15,9.267418981481482
1220028000_055,16,10.387731481481483
1220028000_055,17,11.488194444444444
1220028000_055,18,12.589756944444444
1220028000_055,19,16.268402777777776
1220028000_055,20,12.127777777777778
1220028000_055,21,10.677083333333334
1220028000_055,22,12.632465277777778
1220028000_055,23,7.525520833333333
1220028000_056,0,5.070138888888889
1220028000_056,1,6.607638888888889
1220028000_056,2,8.396527777777777
1220028000_056,3,17.097627314814815
1220028000_056,4,22.423032407407405
1220028000_056,5,14.712789351851853
1220028000_056,6,22.464004629629628
1220028000_056,7,22.506076388888893
1220028000_056,8,18.120370370370374
1220028000_056,9,12.035532407407405
1220028000_056,10,10.181365740740741
1220028000_056,11,6.751388888888889
1220028000_056,12,9.059722222222222
1220028000_056,13,7.91875
